role,n,time
P,9688,285
P,5088,268333299
P,179,323353147
C,5798,88
C,4038,75
C,8712,107
P,8546,269654156
C,7,103
C,6953,74
P,6270,324443988
P,1764,690
P,2952,231
C,3196,160
C,2423,128
C,7213,52
P,9814,331707097
P,7273,346
C,4934,121
C,3614,74
C,590,72
C,999,87
C,2763,79
C,3195,70
C,1070,52
P,3840,332631273
P,4549,428
P,4232,378
C,5202,98
C,6704,71
P,6856,279137057
P,6282,81
P,2287,333419769
C,8971,118
C,4744,121
P,5928,334411662
C,7090,100
P,9948,242
P,7021,169
C,1787,77
C,6794,90
C,1698,86
C,6513,82
P,134,281522811
P,965,112
P,592,152
P,7204,134
P,3229,92
P,3589,95
C,3501,61
C,7311,71
C,6416,100
P,2032,335462677
P,5152,431
P,9619,247
P,2137,246
C,8695,87
C,1546,70
C,1517,72
C,2959,70
P,4822,336281401
C,7760,147
C,911,74
P,399,297
P,4739,210
P,3448,257
P,7265,203
P,225,336617880
C,958,102
C,8588,74
C,2429,98
C,1632,75
P,4999,337641292
P,7348,270
P,2753,233
C,9137,128
C,8262,80
P,3927,338254718
P,2743,275
P,259,226
P,4955,306
P,3576,286446357
C,2375,98
C,3675,100
C,7579,81
C,1962,91
P,4057,339305816
P,9814,237
C,9696,83
C,651,75
P,9221,339665120
P,1635,236
P,2699,218
P,201,339909395
C,6778,87
C,9636,99
P,3112,288609083
P,7691,80
P,1049,340261711
P,5601,223
C,1894,149
C,7636,130
C,8391,61
P,2384,340801900
P,6056,440
C,3496,78
C,435,76
C,214,68
P,6398,386
P,7352,340989495
C,1958,93
C,8207,74
C,2608,59
C,1262,51
C,2237,95
C,1303,124
P,4880,341692294
P,6830,302
P,1781,194
P,356,341889083
C,5002,140
C,8975,130
C,1053,68
P,8841,342342159
C,3130,128
C,5025,82
P,6327,464
P,4556,211
P,5296,171
C,4035,116
C,2202,61
C,5402,81
P,6169,343098507
P,3121,194
P,1022,201
C,8652,77
C,6180,123
P,4861,293761587
P,8077,125
P,1215,343581608
C,5415,110
P,6816,362
C,7972,77
C,7135,70
C,1221,71
P,634,344298755
P,9534,323
P,1030,223
P,2506,207
P,3971,344723535
C,9950,109
C,124,55
C,439,94
C,7091,54
P,9680,460
P,3036,337
P,2641,199
P,2460,168
C,6875,101
C,3813,67
C,2881,65
C,4511,65
P,5140,345500929
P,3546,236
P,6105,200
C,196,77
C,9365,121
P,5345,297282832
P,462,105
C,6649,69
C,886,92
C,3631,70
P,1126,150
P,7012,121
P,9226,77
C,2519,103
C,289,91
C,360,60
C,2132,64
C,1419,120
C,9571,70
C,461,70
P,8777,347260975
P,4686,443
P,5359,313
C,6433,121
C,5046,119
C,5819,98
P,2485,347764268
P,71,250
P,3982,201
C,5761,90
C,2180,70
P,9861,262
P,6570,445
C,7297,144
C,8964,85
P,9929,348625372
C,2792,70
C,2118,80
C,1954,100
C,4064,81
P,2962,349241063
P,6485,358
P,267,280
P,6867,199
C,1103,84
C,2268,64
C,9119,64
C,3382,88
P,6830,262
C,2546,72
C,3403,69
P,5553,332
P,6633,220
P,1675,170
C,6727,97
C,4729,70
P,5801,350111232
C,1840,84
C,1839,81
C,156,68
C,5381,78
