role,n,time
C,64,157517977
C,48,157484875
C,61,157284825
C,89906,157245035
P,62881,265079206
C,41626,157210753
C,49587,157219363
P,95,265070905
P,61,265176362
P,41,265294542
P,61356,265327067
P,67,265414991
P,52,265398860
P,11,265380929
P,100,265404334
P,84,265457014
P,57,265578061
P,61,265646246
P,53,265715246
P,99,265745379
P,79945,265766289
C,88228,158767838
P,53218,265882899
C,31180,158802194
P,49,265894484
P,93,265896308
C,2,158879222
C,51724,158885089
P,26,266105630
C,57,159026341
P,60550,266063870
C,25131,159029442
P,93612,266136800
C,91,159038792
P,6,266233761
C,19497,159071476
C,92,159068320
P,10,266206987
P,30,266125475
C,93,159008339
P,15,266252443
P,22935,266371644
P,26,266198585
C,67,159163520
C,47656,159267400
C,56130,159331992
P,81758,266854789
C,68,159424593
P,73,266889974
C,21,159453281
C,66,159481069
P,14766,266943001
C,10,159558530
C,15,159684230
C,74,159760823
C,88,159845573
C,2,159938888
C,65,159959478
C,17111,159932533
C,23,160001048
C,37,160058648
C,19,160157812
C,71,160188178
C,83,160260203
C,68,160348840
C,60,160377070
C,22,160433968
C,62,160553183
C,56,160630062
C,31,160581885
C,89,160650362
C,56,160686719
C,64,160767874
C,65,160791381
C,32,160782944
C,3,160852851
C,33,160829059
C,26,160890435
C,51,160939389
C,56,160951550
C,51,161010277
C,2,161063591
C,32,161108527
C,7,161130378
C,52590,161209245
P,73990,271219088
C,53,161263159
P,16,271259520
C,77233,161288229
P,3,271279520
P,2,271208843
P,7819,271317266
P,59671,271289880
P,38748,271272937
C,56,161402740
C,57097,161387401
P,18,271244279
P,90668,271266449
P,88,271404639
C,83,161563095
P,95,271501858
C,55,161535929
P,83,271362968
C,42867,161408054
C,31748,161623333
C,26619,161716765
C,31,161746150
C,38,161740247
C,14,161863325
C,62532,161939578
P,92456,272241579
C,15,161849072
P,89,272413565
C,63,162041275
P,67,272529894
C,80,162113793
P,23,272594370
P,59,272672466
C,38,162130500
C,98169,162205638
C,40,162229169
P,38,272776997
P,91,272775625
C,92,162316940
P,95432,272810903
P,35257,272793557
C,43,162424422
P,72,272825441
P,72,272892131
C,85,162457509
P,45,272946715
C,49,162489380
P,60,273095061
C,67745,162636154
P,51162,273281947
C,83,162668510
P,70,273334412
C,43671,162797285
C,90830,162874836
P,87667,273646780
C,26,162732744
C,70437,162490516
P,10,273678163
P,54401,273661266
C,49,162568857
C,79,162463665
P,27,273817657
C,16,162458280
P,71,273769418
P,52,273907553
C,42,162547965
P,17,273932368
C,63,162586637
P,73487,274022484
C,40,162608571
C,85788,162691821
P,79834,274275008
C,95762,162719775
P,42597,274344001
P,31452,274333179
C,4,162711029
P,19,274248514
C,35,162711381
C,83,162715364
C,18,162789239
C,37,162811974
C,55,162965707
C,76394,163099329
P,37647,275088158
C,92,163152729
P,20,275170819
C,67,163226267
P,74,275222701
C,22,163238493
P,1,275218760
C,28,163274331
C,50,163375086
C,85,163399340
C,26798,163468856
P,76411,275819929
C,66875,163608781
P,68,275917678
C,83019,163514687
P,97803,276055904
C,19,163550100
P,33,276066808
C,45,163605782
P,54,276125713
C,16562,163507835
C,88844,163586899
C,362,163504665
C,71,163545960
P,29,276345961
P,21,276305299
C,8,163612244
C,17,163538404
P,80,276212094
P,51,276471996
C,64,163671721
C,93,163777941
P,67,276484206
P,21,276510423
P,28,276399659
P,20663,276506550
C,64029,163701414
C,50,163602636
P,90,276392320
P,68,276510689
C,96,163708227
P,46805,276480920
P,89,276449539
C,42,163830662
P,73,276718041
C,91,163852921
C,29809,163960680
P,34,276672155
C,97,163964055
C,64341,163896442
C,18,163986334
P,16,276922024
P,94727,276563753
P,91,276845998
P,37343,276815019
C,95,164244301
P,74,276722462
P,88807,277030153
C,55,164169201
C,42,164401805
C,88,164500341
C,50,164622972
C,52,164702522
C,83,164730942
C,96426,164961868
P,80629,278280833
P,7,278354142
P,48,278348805
C,85,165092030
P,86,278391654
C,95,165065454
C,64858,165005732
C,50,165073527
P,44091,278421793
C,29,164895802
C,2,164967802
P,56,278536641
P,93,278571261
P,47,278646779
P,23741,278597698
C,19710,165108865
P,46,278728523
C,99,164895249
C,18,165176555
P,34,278520560
P,80,278862827
P,26,278930160
P,19228,278844817
C,63,165261022
C,75837,165105090
P,38398,279106633
P,68,278706665
C,97,165070422
C,93,165461202
P,73,279182157
P,79,279317267
C,9,165410976
C,24705,165661578
C,53,165284712
C,40,165583550
C,72,165738844
P,9,279631694
P,40,279558292
C,20,165868158
