role,n,time
C,4244,174555222
C,9812,174765101
P,5191,279500576
C,5524,174807459
P,9614,279577721
C,6009,174863545
P,6247,279629192
C,3288,175004275
P,6005,279841511
C,8459,175130065
P,126,280036331
C,2306,175242844
P,9837,280077214
C,9538,175226162
P,7310,280139553
C,9183,175231097
P,4129,280251195
C,7096,175465095
P,2996,280317771
P,1055,280373722
C,5577,175538655
P,9602,280424642
C,5965,175636197
P,4733,280497841
C,8841,175705735
P,3161,280831839
P,638,280999224
P,7317,281215478
C,5483,176491219
P,3135,281320896
P,9950,281492752
C,9324,176758285
P,153,281582757
C,1761,176786055
C,4351,176795983
P,8416,281829094
C,9217,176998511
C,5540,177039706
P,5970,281893303
P,9608,282299567
P,4185,282347805
P,8842,282390069
C,6523,177470295
C,1978,177510279
C,2287,177425404
C,105,177744742
C,8256,177853977
P,7818,283149956
C,6412,178126563
P,8567,283472542
C,7647,178276207
P,2071,283501915
P,5954,283553171
C,7157,178510000
P,5634,283748500
C,2289,178576074
C,6903,178811581
P,7299,283943349
C,751,178810495
P,9920,284007428
C,9825,178868470
C,8748,178835624
P,9815,284128297
C,1479,179042297
C,7611,179093056
P,8092,284367046
P,9816,284434734
C,9310,179183305
C,9565,179278142
P,4056,284609982
C,5625,179389142
P,6831,284710290
C,4229,179144957
C,2239,179568889
C,424,179464355
C,9551,179416871
C,4525,179349201
P,8563,284924653
P,9512,284473353
C,374,179425703
P,7429,284943067
P,5853,284915559
C,6504,179440895
P,8662,285361858
C,2733,179543047
P,5739,285371577
C,4834,179405725
C,1666,179448349
P,7355,285427970
P,618,285350983
C,5910,179506064
P,2644,285245571
C,4014,179459822
P,7123,285709825
C,8965,179767513
C,4271,179666529
P,3938,285926306
C,5982,179915633
C,4363,179555011
P,1793,286024654
C,2556,179996945
P,5951,286137337
C,9015,180073758
P,4646,286173121
C,8479,180092487
P,541,286224103
P,4111,286199693
P,55,286556124
P,1153,286767294
P,5782,286945906
C,8583,181093510
P,4959,287103625
C,68,181147963
P,9238,287251378
C,1971,181187000
C,3741,181243387
P,8526,287448443
C,1667,181341047
C,6639,181349392
P,7607,287574394
P,1035,287553140
C,434,181566591
C,8544,181463102
P,6848,287918257
C,526,181573406
C,7852,181678397
P,4899,288155086
C,2689,181685164
P,3100,288224458
C,1515,181703328
P,3340,288287467
C,8663,181767511
P,6283,288376266
C,6629,181824170
P,6392,288374638
P,2789,288401151
C,4127,181890996
P,214,288486476
P,4192,288443187
C,810,181979919
C,7571,182081670
P,7667,288654127
C,5164,182116835
C,7148,182179564
P,3977,288694073
C,1918,182143243
P,4963,288896871
C,4974,182217321
C,7291,182239533
P,5960,288954931
P,3111,289060347
C,5631,182361449
P,5569,289190385
C,4383,182403565
P,3335,289258205
P,9086,289310587
C,8113,182678946
P,999,289408196
C,823,182769790
P,7071,289435208
P,4784,289430169
C,3711,182844286
P,1384,289426932
